match_id,player_id,team,role,champion,win,kills,deaths,assists,cs,vision_score,wards_placed,damage_to_champions,gold_earned,objective_participation,first_blood,lane_advantage
M00006,P080,A,Mid,Orianna,1,11,3,7,202,32,1,27768,15151,8.0,0,-0.06
M00006,P061,A,Mid,Yasuo,1,9,6,10,221,30,3,26350,16380,2.0,0,0.63
M00006,P079,A,Mid,Yasuo,1,11,3,9,226,44,4,27610,16845,3.0,0,-0.88
M00006,P011,A,Mid,Vex,1,12,4,9,231,21,3,31048,16153,3.0,0,-0.39
M00006,P004,A,Bottom,Xayah,1,6,6,10,192,27,4,23139,12318,3.0,0,-0.19
M00006,P019,B,Jungle,Lee Sin,0,6,4,5,132,31,5,27626,11941,2.0,0,1.44
M00006,P017,B,Bottom,Kai’Sa,0,12,4,8,217,31,2,32950,15455,0.0,0,-2.01
M00006,P023,B,Top,Darius,0,11,5,5,186,33,2,26139,13714,1.0,0,-0.62
M00006,P005,B,Top,Renekton,0,6,3,5,174,22,1,24111,12998,3.0,0,1.48
M00006,P046,B,Mid,Akali,0,6,7,4,210,34,1,20706,13642,1.0,0,-0.17
M00007,P068,A,Support,Nautilus,0,7,7,8,22,25,5,21679,10011,0.0,0,-0.56
M00007,P078,A,Support,Leona,0,9,7,10,8,30,8,25073,10389,4.0,0,0.38
M00007,P040,A,Support,Nautilus,0,8,8,6,25,18,1,20337,11283,0.0,0,1.16
M00007,P072,A,Jungle,Graves,0,10,4,5,92,23,4,26570,12149,2.0,0,-0.34
M00007,P059,A,Mid,Akali,0,4,4,6,113,11,3,22934,12513,1.0,0,0.38
M00007,P018,B,Top,Gnar,1,7,5,3,141,28,4,16649,13574,3.0,0,1.19
M00007,P005,B,Top,Malphite,1,7,10,6,148,7,1,19267,13201,1.0,0,1.92
M00007,P003,B,Support,Nautilus,1,9,4,7,24,15,4,20252,12337,3.0,0,0.77
M00007,P038,B,Bottom,Ashe,1,7,4,7,158,22,3,19331,15603,1.0,0,-0.68
M00007,P060,B,Jungle,Jarvan IV,1,10,6,8,88,28,2,22759,12414,2.0,1,0.81
M00008,P028,A,Top,Ornn,1,5,7,13,225,31,1,25376,15657,1.0,0,1.27
M00008,P051,A,Support,Alistar,1,10,3,7,46,21,4,31106,14001,6.0,0,-0.37
M00008,P080,A,Mid,Syndra,1,6,3,21,218,21,1,21068,14238,0.0,0,0.53
M00008,P045,A,Jungle,Graves,1,5,8,8,122,18,0,24550,12077,4.0,0,0.26
M00008,P042,A,Mid,Syndra,1,9,2,7,193,26,1,26006,14562,3.0,0,0.02
M00008,P008,B,Jungle,Lee Sin,0,8,5,7,141,27,4,20665,14204,0.0,1,0.81
M00008,P002,B,Support,Leona,0,5,8,8,30,30,4,23235,11224,4.0,0,-0.35
M00008,P005,B,Top,Ornn,0,4,6,7,184,39,1,23121,12962,3.0,0,0.98
M00008,P015,B,Bottom,Jinx,0,11,5,4,179,28,2,23079,15105,2.0,0,-2.14
M00008,P020,B,Jungle,Sejuani,0,12,6,6,125,39,1,29019,14128,0.0,0,0.11
M00009,P005,A,Top,Gnar,0,4,6,4,203,32,2,27064,15003,1.0,0,-0.22
M00009,P076,A,Mid,Akali,0,5,7,3,240,33,4,26390,13440,4.0,0,1.5
M00009,P030,A,Top,Camille,0,6,6,3,237,22,3,20561,14866,4.0,0,-2.68
M00009,P063,A,Jungle,Lee Sin,0,7,8,2,165,51,2,30482,12283,1.0,0,-0.71
M00009,P011,A,Mid,Yasuo,0,10,8,3,250,40,3,20255,16492,2.0,0,-1.22
M00009,P032,B,Support,Thresh,1,4,6,9,66,37,5,24085,11703,2.0,0,0.89
M00009,P050,B,Support,Braum,1,6,8,8,32,37,2,22905,10972,3.0,0,-1.44
M00009,P012,B,Jungle,Graves,1,12,6,10,173,42,2,26888,16163,6.0,0,-0.19
M00009,P045,B,Jungle,Graves,1,10,4,9,149,43,3,27606,13261,5.0,0,0.78
M00009,P079,B,Mid,Yasuo,1,8,3,6,272,57,2,29494,14970,0.0,1,0.29
M00010,P018,A,Top,Aatrox,1,9,4,10,171,12,1,31204,16005,3.0,0,-0.2
M00010,P034,A,Support,Thresh,1,5,2,12,19,28,1,21482,10313,3.0,1,0.5
M00010,P057,A,Bottom,Ashe,1,7,4,9,186,31,3,26959,14361,2.0,0,0.04
M00010,P072,A,Jungle,Sejuani,1,7,4,13,129,28,1,22133,13820,4.0,0,-0.95
M00010,P016,A,Top,Fiora,1,9,8,10,186,28,1,29828,13164,0.0,0,0.16
M00010,P031,B,Top,Ornn,0,4,4,4,150,22,5,20714,10872,0.0,0,-1.84
M00010,P047,B,Mid,Ahri,0,10,4,1,105,30,3,25577,13853,3.0,0,-0.65
M00010,P051,B,Support,Thresh,0,6,2,8,8,25,3,20669,10228,1.0,0,-0.29
M00010,P056,B,Bottom,Xayah,0,4,3,2,166,22,0,24712,13630,3.0,0,-1.23
M00010,P054,B,Bottom,Jinx,0,3,5,0,163,25,4,23962,13520,1.0,0,-0.04
M00011,P031,A,Top,Renekton,1,4,5,7,206,34,3,20580,14947,1.0,0,0.08
M00011,P038,A,Bottom,Tristana,1,14,6,5,266,25,1,33521,17226,0.0,0,-0.18
M00011,P058,A,Support,Braum,1,8,5,12,39,45,5,28397,10438,2.0,1,-0.87
M00011,P009,A,Support,Morgana,1,9,4,12,16,47,4,15294,11342,2.0,0,0.06
M00011,P052,A,Support,Thresh,1,7,5,6,42,36,3,17921,9719,2.0,0,0.37
M00011,P019,B,Jungle,Graves,0,9,9,2,110,23,0,24783,16294,4.0,0,0.69
M00011,P046,B,Mid,Viktor,0,6,8,6,162,32,0,25545,13567,2.0,0,0.49
M00011,P013,B,Mid,Syndra,0,14,5,2,196,25,0,32405,17989,2.0,0,-0.7
M00011,P054,B,Bottom,Jinx,0,5,3,2,217,32,3,30042,16040,1.0,0,0.42
M00011,P028,B,Top,Fiora,0,4,9,6,202,26,0,24997,14431,1.0,0,1.58
M00012,P031,A,Top,Renekton,0,5,7,4,187,16,2,21201,14016,4.0,0,-1.32
M00012,P001,A,Support,Rakan,0,9,7,6,8,40,5,24585,12397,3.0,0,0.24
M00012,P044,A,Mid,Twisted Fate,0,9,3,10,138,36,0,20798,12809,2.0,0,-0.65
M00012,P014,A,Mid,Syndra,0,5,5,7,157,32,4,26911,12709,0.0,1,0.65
M00012,P036,A,Jungle,Nocturne,0,5,6,2,123,24,3,22403,12914,4.0,1,0.88
M00012,P056,B,Bottom,Jinx,1,8,5,6,189,30,1,25392,15472,1.0,0,-0.14
M00012,P065,B,Jungle,Elise,1,6,8,6,105,15,2,20979,12410,2.0,0,2.32
M00012,P023,B,Top,Renekton,1,10,5,8,146,31,4,26538,13963,1.0,0,-0.4
M00012,P053,B,Support,Braum,1,4,6,13,66,28,1,24462,10846,3.0,0,0.51
M00012,P002,B,Support,Braum,1,7,8,11,24,30,4,26826,10177,4.0,0,0.31
M00013,P045,A,Jungle,Lee Sin,0,9,5,9,174,51,1,24802,12741,2.0,0,0.76
M00013,P078,A,Support,Braum,0,10,6,10,29,50,6,27662,13042,3.0,0,-0.78
M00013,P037,A,Jungle,Graves,0,10,6,8,231,39,2,26831,15952,1.0,1,0.16
M00013,P015,A,Bottom,Tristana,0,12,5,7,282,42,2,34920,17892,2.0,0,-0.97
M00013,P042,A,Mid,Orianna,0,7,4,7,283,47,1,26070,15160,4.0,0,-1.15
M00013,P062,B,Jungle,Viego,1,6,6,6,227,29,0,28242,13864,4.0,0,0.87
M00013,P035,B,Mid,Yasuo,1,5,7,10,277,43,3,25150,13501,2.0,0,1.03
M00013,P069,B,Bottom,Lucian,1,10,8,8,320,39,2,22032,18091,1.0,0,1.18
M00013,P049,B,Mid,Vex,1,9,5,11,279,42,7,31058,17789,3.0,0,1.1
M00013,P005,B,Top,Aatrox,1,8,10,6,243,29,2,25838,17694,2.0,0,-1.11
M00014,P068,A,Support,Lulu,0,12,6,6,36,34,5,24786,11733,2.0,0,0.09
M00014,P073,A,Mid,Viktor,0,10,4,3,223,44,0,26256,14385,1.0,0,0.05
M00014,P064,A,Jungle,Nocturne,0,4,9,4,150,24,1,16616,12340,4.0,0,1.41
M00014,P002,A,Support,Lulu,0,2,3,6,38,39,2,18598,10184,3.0,0,-0.32
M00014,P028,A,Top,Camille,0,6,5,5,239,36,1,19266,14886,1.0,0,-0.66
M00014,P048,B,Support,Braum,1,6,6,5,74,39,5,29164,13418,2.0,0,-0.31
M00014,P079,B,Mid,Orianna,1,11,4,10,214,36,0,30948,17244,2.0,0,0.43
M00014,P039,B,Bottom,Ashe,1,5,5,5,284,33,0,31220,16218,3.0,0,1.83
M00014,P053,B,Support,Braum,1,15,5,8,48,44,3,39955,13917,2.0,0,-0.61
M00014,P010,B,Bottom,Jinx,1,5,5,8,256,30,1,23334,15088,2.0,0,1.86
M00015,P024,A,Mid,Syndra,1,11,3,12,262,22,1,30083,16521,0.0,0,1.44
M00015,P025,A,Bottom,Caitlyn,1,8,3,7,286,30,1,25254,15745,4.0,0,-0.66
M00015,P014,A,Mid,Viktor,1,5,1,13,249,32,2,25396,12461,3.0,0,-0.65
M00015,P019,A,Jungle,Nocturne,1,4,5,7,165,42,0,23407,13195,2.0,0,1.18
M00015,P011,A,Mid,Vex,1,5,5,10,221,40,1,19846,16129,4.0,0,0.11
M00015,P056,B,Bottom,Xayah,0,8,7,5,252,45,3,27422,14877,1.0,1,0.74
M00015,P079,B,Mid,Syndra,0,6,1,4,221,37,1,31851,13527,1.0,0,0.5
M00015,P054,B,Bottom,Jinx,0,6,8,5,233,37,3,29504,13889,1.0,0,-0.01
M00015,P058,B,Support,Leona,0,8,5,11,45,50,4,26920,10928,4.0,0,-0.56
M00015,P075,B,Support,Alistar,0,4,3,10,38,35,5,17602,8900,5.0,0,-1.07
M00016,P011,A,Mid,Syndra,1,0,3,6,251,36,3,19018,14602,2.0,0,-0.14
M00016,P047,A,Mid,Orianna,1,16,3,7,241,29,2,28984,16991,2.0,0,0.56
M00016,P001,A,Support,Alistar,1,11,4,6,29,42,3,21902,11479,6.0,0,-0.5
M00016,P040,A,Support,Rakan,1,4,4,12,26,43,4,23925,10573,2.0,1,0.76
M00016,P013,A,Mid,Akali,1,9,4,16,189,26,2,23316,14297,5.0,0,0.39
M00016,P066,B,Mid,Orianna,0,9,7,7,231,33,1,21801,14826,1.0,0,1.73
M00016,P071,B,Jungle,Sejuani,0,6,4,2,144,28,4,24187,13591,0.0,0,-0.8
M00016,P036,B,Jungle,Viego,0,5,6,3,204,38,2,28284,14714,0.0,0,0.2
M00016,P006,B,Jungle,Sejuani,0,6,9,6,155,40,3,25653,13154,1.0,0,1.18
M00016,P035,B,Mid,Vex,0,6,3,8,215,31,2,20880,15035,1.0,0,-0.54
M00017,P028,A,Top,Fiora,0,4,11,4,182,32,4,24636,14817,0.0,1,-1.57
M00017,P006,A,Jungle,Lee Sin,0,3,10,8,138,34,1,20370,11977,0.0,0,-0.22
M00017,P047,A,Mid,Akali,0,7,6,5,189,23,6,31764,14054,2.0,0,-0.15
M00017,P009,A,Support,Morgana,0,8,8,3,45,44,0,22026,11665,2.0,0,0.77
M00017,P070,A,Mid,Orianna,0,4,3,6,182,20,2,19199,13458,2.0,0,-0.78
M00017,P023,B,Top,Fiora,1,7,7,12,163,32,1,24954,14050,2.0,0,0.85
M00017,P055,B,Bottom,Xayah,1,6,6,12,239,35,4,23860,14143,2.0,0,0.12
M00017,P025,B,Bottom,Jinx,1,10,6,4,254,22,5,30152,16359,8.0,0,0.45
M00017,P029,B,Bottom,Jinx,1,3,5,7,224,26,3,27010,13537,4.0,0,-0.23
M00017,P056,B,Bottom,Kai’Sa,1,8,4,5,258,34,5,23800,16448,2.0,0,-0.08
M00018,P039,A,Bottom,Jinx,0,3,5,4,210,29,4,25230,12656,0.0,0,0.2
M00018,P066,A,Mid,Yasuo,0,6,5,6,209,27,3,26293,14318,0.0,0,-2.26
M00018,P025,A,Bottom,Xayah,0,6,5,10,232,39,1,25271,14637,2.0,0,-0.51
M00018,P052,A,Support,Lulu,0,10,7,5,47,34,4,24740,12531,0.0,0,0.24
M00018,P076,A,Mid,Vex,0,5,8,5,194,32,2,28310,14140,0.0,0,-0.86
M00018,P020,B,Jungle,Kha’Zix,1,5,4,14,147,41,2,24122,12989,1.0,0,0.52
M00018,P072,B,Jungle,Jarvan IV,1,3,5,12,130,25,1,27671,11156,3.0,1,-0.55
M00018,P045,B,Jungle,Kha’Zix,1,11,3,5,167,33,2,22891,13685,5.0,0,0.51
M00018,P054,B,Bottom,Lucian,1,2,7,9,236,36,3,21549,13632,0.0,0,0.61
M00018,P051,B,Support,Nautilus,1,7,2,9,48,43,6,22319,10876,1.0,0,2.38
M00019,P058,A,Support,Rakan,1,9,8,19,33,32,2,24398,11135,2.0,0,1.24
M00019,P064,A,Jungle,Graves,1,7,3,11,92,30,2,23816,12479,2.0,0,-0.79
M00019,P053,A,Support,Braum,1,11,3,4,15,49,1,24001,11442,1.0,0,-0.79
M00019,P028,A,Top,Gnar,1,6,8,12,137,16,2,21080,12106,1.0,1,1.35
M00019,P067,A,Bottom,Xayah,1,9,2,3,163,22,1,20367,15268,1.0,0,-0.38
M00019,P030,B,Top,Malphite,0,6,3,8,145,19,0,21961,12589,0.0,0,0.31
M00019,P078,B,Support,Braum,0,6,6,9,36,30,1,20617,9689,3.0,1,-0.82
M00019,P031,B,Top,Ornn,0,2,7,7,146,30,2,20946,10257,0.0,0,-0.9
M00019,P002,B,Support,Lulu,0,2,4,11,35,39,4,15812,8001,2.0,0,1.75
M00019,P072,B,Jungle,Graves,0,5,5,2,113,18,1,25813,14198,0.0,0,-0.42
M00020,P044,A,Mid,Vex,0,3,7,3,101,2,1,16030,12041,0.0,0,-0.57
M00020,P080,A,Mid,Orianna,0,4,8,6,71,10,8,26429,11093,0.0,0,-1.54
M00020,P027,A,Jungle,Nocturne,0,10,3,3,82,25,1,24841,11646,3.0,0,-0.88
M00020,P050,A,Support,Morgana,0,6,4,5,64,14,7,18573,13144,1.0,0,0.62
M00020,P004,A,Bottom,Ezreal,0,5,5,6,129,16,2,18822,12279,2.0,0,-0.42
M00020,P043,B,Mid,Syndra,1,11,4,6,130,17,1,26251,14265,2.0,0,0.9
M00020,P068,B,Support,Nautilus,1,13,3,10,29,24,3,28208,12857,2.0,1,0.83
M00020,P075,B,Support,Morgana,1,8,4,13,23,32,6,21778,11619,3.0,0,0.25
M00020,P010,B,Bottom,Tristana,1,7,6,8,110,9,0,25460,11768,3.0,1,0.22
M00020,P060,B,Jungle,Viego,1,9,6,7,91,26,2,24121,11382,2.0,0,-0.97
M00021,P062,A,Jungle,Jarvan IV,0,4,2,8,164,44,0,20062,10997,3.0,0,1.96
M00021,P068,A,Support,Morgana,0,8,4,7,27,34,3,29895,13213,1.0,0,-1.96
M00021,P057,A,Bottom,Caitlyn,0,12,5,1,265,19,1,26122,16865,1.0,1,1.23
M00021,P075,A,Support,Morgana,0,4,3,6,66,43,5,18609,8955,1.0,0,-1.14
M00021,P047,A,Mid,Orianna,0,8,14,5,217,15,2,27926,13165,1.0,0,0.21
M00021,P049,B,Mid,Yasuo,1,12,4,10,221,28,1,33492,15129,1.0,0,-0.48
M00021,P016,B,Top,Renekton,1,3,9,10,237,26,5,21457,14078,1.0,0,0.81
M00021,P004,B,Bottom,Ezreal,1,8,7,6,245,19,4,24725,15168,3.0,0,2.39
M00021,P053,B,Support,Rakan,1,12,7,17,24,41,2,21523,10957,2.0,0,1.48
M00021,P040,B,Support,Thresh,1,13,9,14,33,45,9,25959,13984,6.0,0,-0.34
M00022,P049,A,Mid,Vex,0,12,7,7,187,22,4,30695,16429,3.0,0,1.78
M00022,P020,A,Jungle,Viego,0,7,3,4,111,40,5,22311,13419,1.0,0,1.7
M00022,P030,A,Top,Camille,0,6,4,4,206,36,1,26092,14750,3.0,0,0.84
M00022,P028,A,Top,Renekton,0,6,5,7,214,35,4,16569,14344,2.0,0,-0.42
M00022,P076,A,Mid,Syndra,0,8,10,8,239,20,3,20118,13991,1.0,0,0.66
M00022,P002,B,Support,Morgana,1,10,11,8,35,34,5,27055,12760,5.0,0,1.44
M00022,P068,B,Support,Nautilus,1,9,1,15,55,26,2,24106,14145,0.0,0,0.89
M00022,P063,B,Jungle,Jarvan IV,1,5,5,13,185,31,1,19222,12453,5.0,1,0.5
M00022,P058,B,Support,Nautilus,1,8,4,14,32,33,8,24612,9804,2.0,0,-1.07
M00022,P041,B,Jungle,Jarvan IV,1,3,6,7,159,33,0,23947,13053,2.0,1,-0.62
M00023,P080,A,Mid,Vex,0,5,9,2,217,20,2,26718,13208,2.0,1,-2.25
M00023,P048,A,Support,Lulu,0,8,5,10,15,51,3,27792,12416,2.0,0,-0.7
M00023,P004,A,Bottom,Ashe,0,4,2,4,268,32,3,27264,14212,1.0,0,0.24
M00023,P032,A,Support,Lulu,0,7,13,5,55,35,6,21598,10671,3.0,0,0.66
M00023,P027,A,Jungle,Elise,0,9,1,2,162,25,1,22314,13925,2.0,0,-1.5
M00023,P031,B,Top,Camille,1,8,4,10,241,46,2,27354,14304,3.0,0,1.81
M00023,P058,B,Support,Rakan,1,7,4,9,60,44,8,22656,13573,0.0,0,-0.41
M00023,P041,B,Jungle,Elise,1,16,3,8,214,35,1,40101,16478,2.0,1,1.17
M00023,P069,B,Bottom,Jinx,1,15,7,5,269,44,2,39575,18706,2.0,0,-0.1
M00023,P078,B,Support,Alistar,1,8,7,14,70,36,9,22812,12438,6.0,0,1.04
M00024,P001,A,Support,Lulu,0,10,4,3,37,43,1,24306,10799,3.0,0,0.54
M00024,P068,A,Support,Morgana,0,11,5,4,39,54,2,21724,14043,3.0,0,2.27
M00024,P066,A,Mid,Twisted Fate,0,5,2,9,244,36,0,25612,14183,0.0,0,0.3
M00024,P021,A,Top,Malphite,0,11,3,4,283,34,2,35469,16907,0.0,0,1.72
M00024,P056,A,Bottom,Jinx,0,6,8,3,281,42,3,25057,14995,0.0,0,1.64
M00024,P003,B,Support,Nautilus,1,10,2,13,43,41,6,24288,11174,2.0,0,-0.53
M00024,P064,B,Jungle,Nocturne,1,9,7,8,205,31,4,26129,12814,7.0,0,0.68
M00024,P050,B,Support,Rakan,1,5,6,11,57,45,12,26682,10012,2.0,0,0.1
M00024,P043,B,Mid,Twisted Fate,1,6,5,8,286,47,2,27878,18053,3.0,0,0.27
M00024,P076,B,Mid,Twisted Fate,1,7,4,7,300,27,2,24604,17084,1.0,0,0.84
M00025,P005,A,Top,Gnar,0,4,6,8,221,28,1,21128,13381,1.0,0,-0.16
M00025,P060,A,Jungle,Lee Sin,0,6,9,3,184,43,4,28069,14134,3.0,1,-0.21
M00025,P058,A,Support,Thresh,0,7,10,4,53,37,4,20859,13152,0.0,0,-1.2
M00025,P028,A,Top,Camille,0,4,10,7,283,48,0,22450,15594,1.0,0,1.48
M00025,P020,A,Jungle,Nocturne,0,11,5,4,181,44,1,26517,13781,0.0,0,1.58
M00025,P025,B,Bottom,Ashe,1,10,5,3,320,50,6,30801,17253,0.0,0,-0.64
M00025,P040,B,Support,Alistar,1,6,6,12,81,44,7,26964,11892,4.0,0,-0.43
M00025,P073,B,Mid,Yasuo,1,9,3,10,281,31,3,32449,17359,2.0,0,0.18
M00025,P051,B,Support,Nautilus,1,17,4,18,36,28,4,31102,13133,1.0,0,0.3
M00025,P044,B,Mid,Akali,1,8,3,7,282,40,3,22883,16725,4.0,0,0.76
M00026,P034,A,Support,Lulu,0,4,8,10,37,15,6,20807,12231,2.0,0,0.25
M00026,P004,A,Bottom,Ashe,0,3,5,4,160,42,1,20126,14406,2.0,0,-1.57
M00026,P064,A,Jungle,Elise,0,4,4,5,105,29,2,23615,13331,2.0,0,0.08
M00026,P055,A,Bottom,Ashe,0,6,4,5,149,24,2,27665,10816,4.0,0,-0.48
M00026,P016,A,Top,Malphite,0,8,3,4,157,25,2,23236,13146,0.0,0,0.23
M00026,P029,B,Bottom,Jinx,1,6,8,3,156,39,1,22836,10860,2.0,0,-1.08
M00026,P024,B,Mid,Yasuo,1,13,5,7,168,30,1,33977,15863,1.0,0,1.37
M00026,P047,B,Mid,Vex,1,6,1,8,159,11,1,24503,11940,5.0,0,0.52
M00026,P051,B,Support,Lulu,1,13,8,4,35,42,4,28101,12582,5.0,0,-0.66
M00026,P076,B,Mid,Ahri,1,8,7,13,136,17,4,30060,15405,0.0,0,0.18
M00027,P048,A,Support,Nautilus,1,10,7,7,59,23,2,24091,13204,2.0,0,0.62
M00027,P075,A,Support,Rakan,1,3,5,10,51,31,3,15586,11952,3.0,0,0.03
M00027,P004,A,Bottom,Xayah,1,10,3,7,188,25,4,26092,16998,1.0,0,2.41
M00027,P037,A,Jungle,Nocturne,1,8,5,3,164,20,8,22663,13266,1.0,0,0.26
M00027,P068,A,Support,Braum,1,7,10,13,49,34,3,25966,12048,2.0,0,0.73
M00027,P021,B,Top,Malphite,0,6,7,5,162,33,1,22183,14610,2.0,0,1.68
M00027,P025,B,Bottom,Kai’Sa,0,9,7,6,192,24,1,28082,16252,1.0,0,0.41
M00027,P011,B,Mid,Vex,0,6,2,5,181,27,2,16598,13413,0.0,0,-1.01
M00027,P060,B,Jungle,Graves,0,6,9,1,148,22,2,20948,11307,3.0,0,-0.21
M00027,P006,B,Jungle,Graves,0,7,1,3,152,32,3,25065,13386,3.0,0,0.69
M00028,P003,A,Support,Lulu,1,7,7,13,16,41,6,24500,11193,3.0,0,0.24
M00028,P070,A,Mid,Twisted Fate,1,8,6,15,279,32,3,31146,15942,5.0,0,0.08
M00028,P057,A,Bottom,Caitlyn,1,5,4,10,262,25,1,24203,14960,2.0,0,0.04
M00028,P014,A,Mid,Ahri,1,10,4,10,241,29,3,30430,16232,2.0,0,0.41
M00028,P056,A,Bottom,Kai’Sa,1,11,3,11,240,38,2,34243,16060,3.0,1,-0.03
M00028,P040,B,Support,Alistar,0,7,6,13,32,45,5,28817,10899,0.0,0,-0.12
M00028,P060,B,Jungle,Kha’Zix,0,8,3,3,122,41,4,29164,14245,2.0,1,-1.54
M00028,P022,B,Support,Braum,0,2,7,10,13,29,2,21236,9963,2.0,0,-0.34
M00028,P029,B,Bottom,Ezreal,0,3,6,2,236,42,0,25425,12236,0.0,0,-1.0
M00028,P062,B,Jungle,Sejuani,0,7,6,4,147,22,2,23100,12468,6.0,0,-0.69
M00029,P012,A,Jungle,Sejuani,0,11,5,8,168,43,4,28325,13752,2.0,0,-0.84
M00029,P064,A,Jungle,Lee Sin,0,5,7,4,237,45,1,21976,13464,1.0,0,0.26
M00029,P011,A,Mid,Yasuo,0,8,6,11,279,32,3,28274,17138,2.0,0,-0.11
M00029,P058,A,Support,Alistar,0,5,8,8,49,50,2,27328,8779,3.0,0,-0.48
