match_id,team_a_dragons,team_b_dragons,team_a_barons,team_b_barons,team_a_towers,team_b_towers
M00080,1,1,0,1,3,7
M00081,4,1,0,0,4,5
M00082,0,3,1,2,6,5
M00083,5,0,2,0,4,7
M00084,1,2,1,0,4,4
M00085,0,0,1,1,4,3
M00086,3,0,0,0,4,1
M00087,2,0,0,0,7,4
M00088,0,0,0,1,6,7
M00089,2,0,0,0,7,2
M00090,2,2,1,0,2,6
M00091,4,0,0,1,3,5
M00092,2,4,0,0,8,7
M00093,4,0,1,1,4,4
M00094,3,2,0,0,4,5
M00095,4,3,1,0,5,4
M00096,1,0,0,1,2,9
M00097,6,2,1,0,4,2
M00098,2,1,0,0,11,3
M00099,0,0,1,0,11,1
M00100,4,0,2,0,11,2
M00101,3,1,0,0,7,7
M00102,5,3,1,0,2,3
M00103,3,1,1,0,8,4
M00104,4,0,2,0,7,4
M00105,3,1,1,0,4,8
M00106,3,0,0,1,5,3
M00107,2,0,2,0,3,4
M00108,6,0,0,0,2,2
M00109,4,1,0,0,4,6
M00110,5,3,1,0,5,2
M00111,2,2,0,1,4,5
M00112,4,0,1,0,4,8
M00113,3,0,0,0,4,3
M00114,1,0,2,0,3,2
M00115,1,1,0,0,7,3
M00116,3,1,0,0,5,8
M00117,1,2,1,1,4,5
M00118,4,0,0,1,9,3
M00119,2,1,1,0,5,5
M00120,2,1,1,0,3,3
M00121,5,2,1,2,8,6
M00122,2,2,2,0,4,4
M00123,1,0,1,0,8,2
M00124,5,0,1,0,8,3
M00125,2,1,2,0,5,6
M00126,4,2,1,1,5,1
M00127,2,2,1,0,5,1
M00128,4,0,1,0,4,7
M00129,1,1,1,1,5,6
M00130,1,2,1,0,1,6
M00131,3,1,0,0,4,3
M00132,4,2,1,1,3,6
M00133,3,3,0,0,3,4
M00134,1,3,1,1,3,1
M00135,2,0,0,0,3,3
M00136,0,0,0,0,3,3
M00137,2,0,2,0,4,5
M00138,2,1,1,0,4,3
M00139,4,1,1,0,8,2
M00140,4,1,1,1,7,8
M00141,3,0,2,0,6,4
M00142,2,2,0,0,5,7
M00143,1,1,0,0,2,3
M00144,2,4,2,0,4,4
M00145,1,2,0,0,4,5
M00146,1,2,1,1,6,5
M00147,1,0,0,0,8,3
M00148,4,0,1,0,5,4
M00149,4,2,0,0,6,5
M00150,1,1,1,0,5,7
M00151,4,6,0,1,1,10
M00152,2,0,0,0,9,6
M00153,1,5,1,0,3,3
M00154,2,0,2,0,6,1
M00155,0,2,0,0,5,11
M00156,2,1,2,0,4,6
M00157,2,1,2,0,9,7
M00158,1,2,2,1,4,6
M00159,6,2,0,1,5,3
M00160,3,1,1,0,4,10
M00161,6,0,0,0,5,3
M00162,1,0,0,0,8,8
M00163,1,1,2,0,3,6
M00164,4,1,1,0,5,1
M00165,2,2,0,0,2,4
M00166,2,2,0,0,2,8
M00167,3,1,0,2,1,3
M00168,2,1,1,0,2,3
M00169,2,1,0,1,6,1
M00170,1,1,1,0,3,4
M00171,1,2,0,0,1,7
M00172,2,1,0,0,4,11
M00173,1,0,0,2,3,4
M00174,3,0,0,0,6,2
M00175,3,0,2,0,5,1
M00176,4,2,1,1,1,7
M00177,2,1,1,0,7,8
M00178,2,2,0,0,4,3
M00179,2,1,0,1,7,5
M00180,3,0,0,0,3,3
M00181,6,0,0,0,7,6
M00182,1,1,0,1,7,5
M00183,1,2,0,1,3,8
M00184,1,3,1,0,10,9
M00185,3,1,0,0,6,4
M00186,4,5,0,2,6,7
M00187,5,0,0,1,7,4
M00188,4,2,0,1,4,9
M00189,0,2,1,1,2,7
M00190,4,1,0,1,2,5
M00191,2,0,2,0,4,3
M00192,1,1,0,1,6,3
M00193,5,1,0,0,7,2
M00194,3,0,0,0,9,3
M00195,4,2,0,0,2,5
M00196,1,3,0,1,4,4
M00197,4,0,1,0,6,4
M00198,2,0,0,1,7,3
M00199,4,0,0,0,10,1
M00200,1,2,1,0,4,7
M00201,1,1,0,0,4,5
M00202,3,0,0,0,11,4
M00203,1,0,0,0,4,2
M00204,2,1,0,1,2,9
M00205,4,2,0,0,7,2
M00206,2,1,0,0,4,5
M00207,3,0,0,0,7,11
M00208,2,0,1,0,3,7
M00209,1,0,2,0,4,6
M00210,1,1,1,0,9,4
M00211,3,2,1,0,1,5
M00212,4,0,1,1,9,2
M00213,4,0,0,0,6,11
M00214,1,1,1,1,3,6
M00215,1,3,0,0,2,8
M00216,1,3,0,0,3,3
M00217,3,1,0,0,9,9
M00218,1,1,0,2,6,6
M00219,1,0,0,0,4,3
M00220,0,2,0,0,8,8
M00221,0,4,1,1,4,7
M00222,0,3,0,0,2,3
M00223,4,1,0,1,3,3
M00224,3,0,0,1,6,1
M00225,1,4,0,0,4,4
M00226,3,2,0,0,5,5
M00227,2,2,1,0,5,6
M00228,3,2,1,0,6,6
M00229,4,0,1,1,3,4
M00230,0,1,1,1,4,4
M00231,3,2,0,1,4,7
M00232,0,0,1,1,4,1
M00233,2,1,0,1,2,4
M00234,5,5,1,1,3,7
M00235,3,3,0,0,5,4
M00236,0,1,2,0,6,4
M00237,2,2,0,0,2,3
M00238,2,1,1,1,4,7
M00239,5,1,1,0,4,4
M00240,3,1,2,0,7,4
M00241,4,1,1,1,7,4
M00242,0,2,2,0,3,5
M00243,2,1,0,0,1,9
M00244,0,0,0,0,1,3
M00245,4,2,0,2,5,7
M00246,1,0,0,0,3,4
M00247,6,1,0,1,7,4
M00248,6,4,0,0,1,5
M00249,4,0,0,0,6,4
M00250,3,1,1,0,3,3
M00251,3,1,1,0,5,3
M00252,0,1,2,0,4,7
M00253,1,0,0,0,8,5
M00254,2,0,0,0,8,2
M00255,2,1,1,1,5,2
M00256,2,1,0,0,6,2
M00257,4,2,0,0,8,7
M00258,5,3,0,0,3,10
M00259,3,2,0,0,3,6
M00260,6,2,0,0,5,4
M00261,2,0,0,1,7,1
M00262,2,1,0,2,5,3
M00263,2,0,0,0,4,9
M00264,2,0,0,0,3,3
M00265,3,0,1,0,5,6
M00266,4,0,0,0,1,3
M00267,2,4,0,1,3,9
M00268,6,0,1,0,2,4
M00269,2,0,0,0,7,5
M00270,5,1,2,0,7,4
M00271,2,2,1,0,6,3
M00272,2,2,0,1,4,3
M00273,1,3,0,0,6,11
M00274,4,1,0,1,7,3
M00275,2,2,1,0,3,3
M00276,2,0,0,0,8,5
M00277,3,0,1,0,5,1
M00278,2,2,1,0,4,7
M00279,1,1,2,0,3,3
M00280,5,3,0,0,3,3
M00281,5,1,0,0,7,5
M00282,2,2,0,0,5,2
M00283,2,2,0,0,8,8
M00284,3,1,0,0,6,2
M00285,0,1,2,0,6,7
M00286,2,0,1,0,4,9
M00287,3,2,0,2,2,3
M00288,1,0,1,0,2,5
M00289,1,0,0,0,6,2
M00290,3,0,0,0,5,5
M00291,4,0,1,1,7,4
M00292,3,4,0,0,6,6
M00293,1,1,1,0,9,3
M00294,5,1,0,0,5,5
M00295,0,3,0,0,3,6
M00296,3,4,1,2,5,5
M00297,1,1,0,1,9,6
M00298,3,4,2,0,4,10
M00299,2,1,2,0,7,4
M00300,4,2,2,0,4,2
M00301,6,1,2,0,11,4
M00302,3,1,1,1,5,5
M00303,3,1,0,0,4,8
M00304,2,2,2,0,3,11
M00305,5,0,0,0,8,3
M00306,3,5,0,0,3,4
M00307,2,1,0,1,4,6
M00308,2,1,0,2,2,6
M00309,6,0,0,1,10,3
M00310,3,1,1,0,11,3
M00311,1,1,0,1,1,8
M00312,1,1,1,0,7,4
M00313,2,0,0,0,7,3
M00314,4,2,0,0,4,7
M00315,3,2,0,0,1,7
M00316,3,1,1,0,8,7
M00317,3,3,0,1,5,6
M00318,2,0,1,0,9,5
M00319,4,0,0,0,9,2
M00320,1,4,0,0,5,5
M00321,0,0,0,1,7,4
M00322,3,1,0,0,4,9
M00323,5,0,2,0,6,1
M00324,2,0,1,0,1,5
M00325,3,2,2,0,8,2
M00326,2,1,0,2,4,3
M00327,1,0,1,0,8,7
M00328,1,0,1,0,3,5
M00329,5,0,0,0,10,4
M00330,2,2,0,0,2,11
M00331,0,1,1,0,4,4
M00332,2,1,0,0,6,4
M00333,5,0,1,1,7,1
M00334,2,1,1,0,5,4
M00335,3,1,1,1,9,5
M00336,4,1,2,1,9,2
M00337,3,2,0,0,5,3
M00338,1,1,0,1,4,8
M00339,4,2,0,0,6,3
M00340,2,0,0,0,2,5
M00341,2,1,1,0,2,6
M00342,3,1,1,0,5,1
M00343,0,1,0,1,4,5
M00344,1,2,0,1,3,9
M00345,2,1,1,0,6,7
M00346,2,1,1,0,4,4
M00347,3,1,1,0,10,5
M00348,1,2,0,1,4,7
M00349,0,1,0,2,2,7
M00350,2,1,0,0,5,2
M00351,5,0,2,0,3,4
M00352,2,0,1,0,5,10
M00353,4,1,0,1,3,5
M00354,0,0,0,0,5,4
M00355,1,0,1,0,2,5
M00356,2,0,1,0,5,7
M00357,3,1,1,0,2,9
M00358,1,1,0,0,2,8
M00359,4,3,0,0,3,3
M00360,2,3,0,1,6,5
M00361,3,1,1,2,5,4
M00362,1,0,1,0,4,4
M00363,2,1,0,0,11,4
M00364,2,2,0,1,3,8
M00365,6,1,2,1,9,7
M00366,2,0,1,0,5,3
M00367,3,1,0,1,7,7
M00368,3,1,1,0,5,5
M00369,3,1,1,1,4,5
M00370,2,5,0,0,1,3
M00371,1,0,1,0,4,4
M00372,3,1,2,0,7,5
M00373,4,0,0,0,4,3
M00374,0,0,0,2,6,7
M00375,5,0,0,0,9,1
M00376,3,1,0,0,9,2
M00377,1,0,0,1,8,5
M00378,1,0,0,1,5,7
M00379,0,1,2,1,8,6
M00380,1,4,0,1,2,4
M00381,2,1,0,0,11,3
M00382,4,3,0,1,5,5
M00383,2,1,0,0,2,6
M00384,0,5,0,0,8,5
M00385,3,3,2,1,8,4
M00386,2,2,1,0,5,3
M00387,2,0,1,0,8,3
M00388,5,0,2,0,10,4
M00389,1,2,0,1,3,4
M00390,3,1,0,2,3,3
M00391,5,3,0,0,3,5
M00392,1,2,1,2,2,4
M00393,3,0,1,1,5,5
M00394,3,0,0,1,11,4
M00395,2,0,1,0,1,6
M00396,0,1,0,0,8,7
M00397,1,0,0,0,3,6
M00398,2,1,0,0,10,7
M00399,1,2,1,0,2,6
M00400,1,0,1,1,10,3
M00401,2,2,0,0,1,3
M00402,5,1,1,0,5,2
M00403,4,1,0,2,2,10
M00404,6,2,1,1,3,3
M00405,2,0,0,1,3,6
M00406,6,4,0,0,5,2
M00407,5,0,2,1,6,2
M00408,2,1,1,0,7,3
M00409,1,0,0,0,2,10
M00410,2,1,0,0,1,6
M00411,3,2,0,0,3,6
M00412,3,3,0,1,4,9
M00413,3,5,0,0,4,7
M00414,4,1,0,1,3,8
M00415,1,3,0,0,2,11
M00416,0,2,0,0,4,4
M00417,3,3,0,0,5,3
M00418,4,1,0,0,9,9
M00419,2,5,0,1,3,6
M00420,2,3,0,1,1,2
M00421,2,2,1,0,5,3
M00422,3,2,0,1,5,11
M00423,4,0,0,0,6,4
M00424,3,2,0,0,6,6
M00425,4,1,1,0,1,8
M00426,0,2,0,2,4,10
M00427,3,2,0,0,7,3
M00428,4,2,0,1,8,8
M00429,1,3,0,0,4,4
M00430,3,1,2,0,4,9
M00431,1,1,0,0,3,2
M00432,2,0,2,0,3,2
M00433,1,2,1,1,3,5
M00434,1,1,1,0,4,4
M00435,1,1,0,0,6,2
M00436,3,1,0,1,6,6
M00437,3,0,0,1,7,3
M00438,2,2,0,0,3,3
M00439,2,1,0,0,5,10
M00440,3,3,1,1,11,6
M00441,6,1,2,0,11,6
M00442,2,4,0,1,2,8
M00443,1,0,1,1,3,3
M00444,1,1,0,0,10,5
M00445,1,4,0,2,5,6
M00446,1,1,0,0,4,4
M00447,3,1,0,0,1,4
M00448,2,3,0,1,3,6
M00449,3,0,0,0,4,4
M00450,1,0,0,0,6,7
M00451,3,0,2,0,5,5
M00452,0,1,0,1,2,4
M00453,2,3,0,0,5,7
M00454,2,0,0,0,7,1
M00455,1,4,1,1,3,6
M00456,1,0,0,0,4,7
M00457,3,1,2,0,5,4
M00458,2,2,1,0,4,6
M00459,4,0,0,0,4,4
M00460,4,1,0,0,5,2
M00461,0,2,0,0,3,5
M00462,2,1,0,1,5,5
M00463,1,3,1,0,1,4
M00464,1,1,1,0,5,2
M00465,2,1,0,0,1,6
M00466,1,5,1,0,6,5
M00467,4,2,1,0,4,1
M00468,4,0,2,1,4,5
M00469,3,0,1,0,9,2
M00470,2,3,0,0,5,7
M00471,0,3,1,0,6,8
M00472,1,2,0,0,7,5
M00473,4,4,0,0,6,5
M00474,1,1,1,1,5,5
M00475,2,3,0,0,4,6
M00476,4,0,2,0,6,7
M00477,4,3,0,0,3,5
M00478,4,1,0,0,3,4
M00479,1,3,0,0,7,7
M00480,3,1,0,1,8,7
M00481,2,0,2,0,10,5
M00482,3,3,1,0,5,5
M00483,2,2,0,1,1,4
M00484,4,0,0,0,7,2
M00485,2,1,0,0,3,4
M00486,4,1,0,0,6,4
M00487,3,1,1,0,7,3
M00488,2,1,2,0,5,2
M00489,2,3,0,2,5,3
M00490,2,0,1,0,5,7
M00491,3,0,2,0,11,4
M00492,5,3,0,0,3,4
M00493,4,4,0,1,5,4
M00494,0,0,1,1,2,9
M00495,1,1,0,0,1,2
M00496,5,4,0,2,2,5
M00497,3,0,0,1,10,4
M00498,3,0,1,0,6,9
M00499,2,1,0,0,1,2
M00500,5,1,0,1,6,3
M00501,6,0,1,0,6,1
M00502,2,2,0,0,1,8
M00503,3,1,1,0,3,4
M00504,1,0,1,0,7,4
M00505,2,3,1,0,5,6
M00506,2,2,1,1,3,4
M00507,1,4,1,0,8,5
M00508,1,0,0,0,4,3
M00509,4,0,0,1,4,3
M00510,6,1,1,0,9,4
M00511,0,1,0,0,4,6
M00512,1,3,0,0,2,5
M00513,2,2,0,0,5,10
M00514,3,0,0,0,3,6
M00515,3,0,1,0,2,6
M00516,6,0,1,0,2,3
M00517,3,3,1,1,3,6
M00518,3,2,1,0,7,1
M00519,3,2,1,1,8,1
M00520,4,0,0,1,5,4
M00521,3,4,0,0,7,6
M00522,3,0,0,0,8,1
M00523,3,6,0,0,4,6
M00524,1,3,0,1,4,8
M00525,3,1,0,0,1,11
M00526,3,0,1,0,3,4
M00527,2,1,0,0,4,6
M00528,2,2,0,1,4,11
M00529,1,0,1,1,6,5
M00530,2,0,0,0,7,6
M00531,0,1,1,1,1,3
M00532,3,2,1,0,5,7
M00533,4,2,1,1,2,6
M00534,0,0,1,0,5,4
M00535,2,4,0,0,4,11
M00536,4,0,0,0,5,2
M00537,4,0,0,0,10,5
M00538,2,1,0,2,4,8
M00539,3,3,1,1,6,4
M00540,2,2,0,0,2,8
M00541,3,1,1,0,8,5
M00542,0,1,1,2,6,2
M00543,2,0,1,0,9,1
M00544,2,1,1,0,9,7
M00545,3,2,0,0,6,7
M00546,2,1,1,1,8,10
M00547,2,4,0,0,1,9
M00548,0,0,0,0,5,7
M00549,4,0,1,0,7,8
M00550,1,0,0,0,1,3
M00551,3,0,1,0,3,6
M00552,2,3,0,0,4,6
M00553,0,1,0,1,2,11
M00554,3,2,0,0,3,2
M00555,2,1,0,0,8,2
M00556,2,1,1,0,7,1
M00557,3,1,0,0,5,5
M00558,1,0,1,2,4,5
M00559,1,2,1,0,3,3
M00560,4,0,1,0,8,6
M00561,1,5,1,1,3,6
M00562,2,2,1,0,2,3
M00563,0,3,0,0,2,2
M00564,3,0,1,2,2,2
M00565,1,3,0,1,6,10
M00566,2,2,1,1,2,7
M00567,5,0,0,1,6,9
M00568,1,2,0,1,6,6
M00569,4,2,0,0,4,2
M00570,6,0,0,0,3,4
M00571,5,0,1,0,2,4
M00572,3,0,1,1,4,2
M00573,3,2,0,0,5,7
M00574,3,6,1,0,3,3
M00575,2,2,0,0,2,3
M00576,1,2,0,0,3,7
M00577,4,1,0,0,3,2
M00578,3,1,0,0,8,5
M00579,1,2,0,1,5,4
M00580,2,3,0,2,3,6
M00581,1,1,0,0,5,7
M00582,1,4,0,2,3,10
M00583,1,2,0,1,6,4
M00584,1,0,2,2,3,5
M00585,3,1,0,0,5,4
M00586,0,1,0,1,6,6
M00587,3,0,2,0,4,6
M00588,3,2,1,2,5,1
M00589,0,2,0,1,2,4
M00590,4,2,0,0,7,1
M00591,3,0,1,0,6,4
M00592,2,0,0,0,4,9
M00593,1,1,2,2,6,6
M00594,3,0,0,0,4,6
M00595,2,2,0,0,2,8
M00596,3,1,1,0,11,2
M00597,1,2,0,0,2,8
M00598,2,0,1,1,3,3
M00599,3,3,0,1,1,8
M00600,3,3,1,1,5,10
M00601,6,1,0,0,3,2
M00602,1,1,1,1,3,7
M00603,2,2,0,0,1,3
M00604,2,4,0,2,5,10
M00605,0,1,1,0,5,10
M00606,3,3,0,0,5,6
M00607,4,0,1,1,5,4
M00608,5,2,1,0,8,2
M00609,3,0,0,0,1,8
M00610,6,0,1,0,4,4
M00611,2,1,1,2,6,4
M00612,0,0,0,0,8,6
M00613,5,0,1,0,6,4
M00614,0,0,0,1,3,3
M00615,1,1,0,0,8,6
M00616,4,1,0,0,1,2
M00617,1,2,0,0,4,4
M00618,5,2,2,1,7,3
M00619,2,0,1,2,1,9
M00620,2,2,0,2,10,1
M00621,4,0,1,1,4,4
M00622,2,0,0,1,3,8
M00623,0,0,0,1,6,2
M00624,4,4,0,1,7,11
M00625,2,3,0,0,7,11
M00626,3,2,0,1,1,3
M00627,1,3,0,0,2,5
M00628,3,0,0,0,5,5
M00629,5,3,0,1,6,5
M00630,0,0,1,0,8,7
M00631,6,1,0,0,4,4
M00632,1,1,1,0,3,3
M00633,3,3,0,0,2,7
M00634,6,0,0,0,2,8
M00635,1,3,0,1,5,7
M00636,1,2,0,2,2,9
M00637,4,0,1,1,4,2
M00638,2,1,2,0,8,4
M00639,2,1,1,0,3,6
M00640,2,3,2,0,10,3
M00641,3,0,1,1,5,6
M00642,4,2,0,0,3,2
M00643,1,4,0,0,4,6
M00644,4,6,0,1,1,7
M00645,5,3,1,1,4,4
M00646,2,2,0,0,6,3
M00647,4,1,0,0,6,4
M00648,0,0,1,1,4,5
M00649,2,1,0,0,11,2
M00650,0,1,1,0,7,6
M00651,1,1,1,0,6,3
M00652,1,0,1,0,8,5
M00653,0,3,1,2,4,6
M00654,6,0,1,0,8,6
M00655,2,1,1,2,10,6
M00656,4,0,0,0,6,3
M00657,1,0,0,1,2,4
M00658,2,2,2,1,2,8
M00659,5,0,0,0,11,2
M00660,2,2,0,0,3,9
M00661,2,0,0,1,5,6
M00662,0,2,0,1,5,7
M00663,2,1,2,1,9,5
M00664,3,2,0,1,6,2
M00665,3,1,0,2,3,4
M00666,2,2,2,1,5,5
M00667,2,2,0,1,4,7
M00668,5,1,0,0,5,5
M00669,2,0,0,2,2,3
M00670,2,0,0,0,4,3
M00671,0,3,1,0,7,9
M00672,3,0,1,0,4,5
M00673,0,0,0,2,4,2
M00674,3,1,0,0,2,4
M00675,2,2,0,0,2,8
M00676,2,1,1,0,3,9
M00677,1,4,0,1,9,2
M00678,2,0,1,0,5,1
M00679,4,0,0,1,8,1
M00680,6,1,1,0,7,4
M00681,3,1,2,0,5,2
M00682,4,1,0,0,9,5
M00683,1,2,2,1,4,7
M00684,2,4,0,1,7,4
M00685,1,0,1,0,5,4
M00686,1,6,1,0,4,9
M00687,2,2,1,0,7,4
M00688,3,2,1,0,4,7
M00689,1,3,0,0,10,4
M00690,2,1,0,1,5,6
M00691,1,1,0,0,4,1
M00692,1,1,0,0,4,3
M00693,2,0,0,0,5,4
M00694,3,2,0,0,4,8
M00695,0,2,0,0,3,8
M00696,3,1,1,0,7,7
M00697,3,0,2,0,8,6
M00698,3,2,1,1,7,5
M00699,0,0,0,0,2,5
M00700,2,1,1,1,8,7
M00701,5,0,1,0,4,5
M00702,2,0,0,1,5,2
M00703,1,0,1,0,3,7
M00704,3,1,0,0,6,6
M00705,1,1,1,0,6,6
M00706,5,1,2,1,5,5
M00707,2,0,0,0,5,6
M00708,2,5,1,0,2,3
M00709,3,3,0,0,5,7
M00710,2,2,0,2,5,7
M00711,0,1,0,1,1,2
M00712,4,2,1,0,5,1
M00713,2,1,1,0,5,2
M00714,4,1,1,1,8,3
M00715,0,3,1,1,4,5
M00716,0,0,0,2,8,1
M00717,2,1,0,0,9,5
M00718,2,5,1,0,7,6
M00719,3,1,1,0,9,5
M00720,5,1,0,1,2,8
M00721,5,0,2,0,4,6
M00722,2,2,1,1,9,1
M00723,5,0,0,0,3,9
M00724,2,1,1,2,1,5
M00725,3,4,1,1,2,10
M00726,0,1,1,1,6,6
M00727,1,1,1,1,6,3
M00728,2,1,0,2,3,5
M00729,5,0,1,0,3,6
M00730,2,1,0,0,6,7
M00731,3,4,0,0,2,6
M00732,2,0,0,0,11,2
M00733,4,3,0,1,2,4
M00734,0,1,0,1,1,1
M00735,1,3,1,0,5,4
M00736,1,0,1,0,4,3
M00737,3,1,0,0,3,5
M00738,6,4,0,0,5,3
M00739,2,4,1,1,2,4
M00740,1,0,1,1,5,6
M00741,0,3,0,1,6,5
M00742,1,1,0,1,5,5
M00743,1,0,0,0,9,6
M00744,1,1,2,0,7,6
M00745,5,1,1,1,7,2
M00746,2,0,0,1,6,2
M00747,5,1,0,1,6,7
M00748,2,0,1,1,8,4
M00749,4,2,1,0,5,1
M00750,0,4,0,0,2,11
M00751,0,4,0,0,4,6
M00752,1,2,1,0,5,5
M00753,4,1,0,0,7,4
M00754,5,0,2,0,5,5
M00755,1,1,0,0,3,3
M00756,4,0,2,0,4,3
M00757,1,2,0,0,3,3
M00758,1,0,0,0,6,7
M00759,1,2,0,0,1,6
M00760,0,3,0,1,2,5
M00761,2,1,0,0,3,6
M00762,4,0,2,1,8,7
M00763,2,2,0,1,6,9
M00764,1,0,0,1,7,3
M00765,3,1,1,1,4,5
M00766,2,0,1,0,4,2
M00767,3,1,0,1,3,3
M00768,0,2,0,0,7,1
M00769,3,1,1,0,4,3
M00770,4,4,0,0,3,3
M00771,4,0,0,0,11,5
M00772,1,1,0,0,2,6
M00773,2,1,0,0,6,1
M00774,1,3,0,1,2,3
M00775,2,1,0,0,2,3
M00776,3,0,0,1,2,3
M00777,2,1,0,1,9,4
M00778,3,1,1,0,4,1
M00779,1,0,0,1,9,3
M00780,0,1,0,0,5,2
M00781,1,0,0,1,4,3
M00782,2,2,0,0,5,7
M00783,4,1,2,0,4,4
M00784,3,1,0,0,5,3
M00785,3,1,0,0,4,6
M00786,3,1,0,1,6,3
M00787,3,1,0,1,3,3
M00788,2,2,0,0,1,9
M00789,2,1,0,0,8,3
M00790,4,0,1,0,6,2
M00791,4,4,1,0,2,3
M00792,3,1,0,1,5,5
M00793,3,3,0,1,4,10
M00794,0,0,0,0,4,9
M00795,1,3,0,2,1,7
M00796,3,3,1,0,4,5
M00797,0,1,0,0,6,10
M00798,2,0,0,0,5,8
M00799,3,3,0,1,1,5
M00800,4,0,2,1,3,5
M00801,6,2,1,0,11,3
M00802,6,0,2,0,5,7
M00803,1,1,0,1,4,3
M00804,1,1,0,2,2,7
M00805,2,0,0,0,5,7
M00806,5,1,1,1,5,5
M00807,6,1,1,0,3,2
M00808,2,0,0,0,1,6
M00809,2,2,0,0,7,11
M00810,2,1,0,1,8,5
M00811,1,2,0,1,7,8
M00812,1,0,1,2,3,6
M00813,5,1,1,0,3,6
M00814,5,0,0,1,3,11
M00815,1,4,0,0,2,6
M00816,4,1,0,0,4,6
M00817,3,0,0,0,5,7
M00818,5,2,0,2,4,7
M00819,1,4,1,1,4,4
M00820,3,4,0,0,1,8
M00821,4,2,0,1,2,6
M00822,2,2,0,0,1,8
M00823,3,3,1,0,3,2
M00824,1,0,0,2,2,4
M00825,2,5,1,0,8,6
M00826,2,3,1,0,3,9
M00827,1,1,1,0,2,8
M00828,4,2,1,2,4,1
M00829,4,4,0,0,3,8
M00830,1,1,0,0,1,7
M00831,4,0,0,0,6,6
M00832,2,0,0,2,3,7
M00833,0,0,2,0,5,6
M00834,2,1,1,1,8,10
M00835,3,1,0,1,4,3
M00836,4,2,0,0,4,4
M00837,1,0,0,0,6,3
M00838,4,0,0,1,4,5
M00839,4,3,0,0,3,4
M00840,1,2,1,0,7,5
M00841,3,3,0,1,1,6
M00842,0,4,0,0,3,3
M00843,4,1,1,0,6,7
M00844,2,0,2,1,5,9
M00845,1,2,0,2,4,8
M00846,3,2,1,1,5,6
M00847,4,2,0,0,7,5
M00848,4,0,1,0,4,3
M00849,1,0,0,1,3,7
M00850,1,0,0,0,5,4
M00851,4,1,0,0,2,8
M00852,5,0,0,1,2,7
M00853,0,2,0,0,3,3
M00854,4,4,0,1,4,9
M00855,5,0,0,2,7,2
M00856,6,0,0,0,7,6
M00857,6,1,0,0,6,8
M00858,0,1,1,0,2,7
M00859,2,0,0,0,1,6
M00860,0,1,1,0,5,5
M00861,4,4,0,0,1,6
M00862,2,2,0,1,5,7
M00863,3,2,0,0,6,1
M00864,3,1,1,0,6,7
M00865,0,1,1,0,3,4
M00866,3,1,1,1,5,4
M00867,1,1,0,0,5,1
M00868,4,0,1,0,5,1
M00869,1,1,0,1,4,11
